発話者名    発話開始時間    発話終了時間    書き起こしテキスト
オペレータ  00:01.62	00:04.73	こんにちは、ご利用いただきましてありがとうございます。
オペレータ	07:13.77	07:24.22	ま、こちら、あの、名前にも、ございます通り、のどぐろ料理、が、特に、メインとなっておりまして、それと合わせまして、北陸の地酒もお楽しみいただくことができます。
カスタマー	07:24.97	07:25.79	いいと思います。
カスタマー	07:26.31	07:27.52	<>。
オペレータ	07:26.45	07:27.15	ありがとうございます。
カスタマー	07:28.34	07:30.61	どのぐらいが、<>でしょうか？
オペレータ	07:31.62	07:33.20	あ、こちら、ご予算でしょうか？
カスタマー	07:33.75	07:34.06	はい。
オペレータ	07:34.51	07:34.62	はい。
オペレータ	07:34.84	07:41.07	こちら、だいたいお昼ですと、１０００円から３０００円程度、お考えいただければと、思います。
カスタマー	07:41.58	07:45.84	それはリーズナブルー、ですので、魅力的に、感じました。
オペレータ	07:43.85	07:44.15	はい。
オペレータ	07:46.45	07:47.68	ありがとうございます。
オペレータ	07:48.12	07:58.45	では、お昼はですね、こちら１１時から１４時３０分ラストオーダーとなっておりますので、このお時間帯に、お召し上がりいただければと思います。
カスタマー	07:59.09	07:59.52	はい。
オペレータ	08:00.02	08:00.10	はい。
オペレータ	08:00.46	08:09.52	こちらですね、あの、金沢の、加賀野菜も、扱っておりますので、ぜひお魚だけではなくですね、お野菜の方もお召し上がりいただければと、思います。
カスタマー	08:08.54	08:08.64	はあ、はあ。
カスタマー	08:09.68	08:11.22	それは、楽しみです。
カスタマー	08:11.59	08:13.14	お願いしたいと思います。
オペレータ	08:11.90	08:12.12	<>。
オペレータ	08:13.45	08:14.50	ありがとうございます。
オペレータ	08:14.95	08:21.87	ではこちら、のどぐろ料理と北陸の地酒、せん、こちらをですね、お昼ご飯の場所に、させていただきます。
カスタマー	08:22.37	08:22.77	はい。
オペレータ	08:23.69	08:23.77	はい。
オペレータ	08:24.23	08:33.67	では、午後の観光なんですけれども、お客様、午前は、兼六園の方ご覧になりまして、午後は、そうなりますと、どういった場所がよろしいでしょうか？
カスタマー	08:35.25	08:36.32	どうでしょうか。
カスタマー	08:36.63	08:40.28	あのー、何か、お勧めがあれば、お願いしたいと思います。
オペレータ	08:38.87	08:39.50	ええ。
オペレータ	08:40.87	08:41.75	かしこまりました。
オペレータ	08:42.13	08:50.95	まず、ひとつ、私が気になっておりますのが、お客様、お土産は、お友達等に、買って変える必要ございますか？
カスタマー	08:50.97	08:54.52	あ、お、お土産はー、みんな買って帰らないといけないと思います。
カスタマー	08:54.56	08:57.92	家族<>いますので、
オペレータ	08:55.27	08:55.45	ええ。
オペレータ	08:56.63	08:57.97	そうですよね、ええ。
オペレータ	08:58.19	09:11.84	あのー、ご家族の方がお土産を楽しみに、お待ちになっているかもしれませんので、では、そうですね、午後は、どちらか観光なさる場所と、お土産の場所を、決めていくという形でよろしいでしょうか。
カスタマー	09:03.71	09:04.22	<>。
カスタマー	09:12.27	09:13.25	それがいいです。
カスタマー	09:13.49	09:14.60	ありがとうございます。
オペレータ	09:15.10	09:15.67	かしこまりました。
オペレータ	09:15.72	09:16.88	ありがとうございます。
オペレータ	09:17.20	09:43.61	ではですね、例えば、まず観光なさる場所なんですけれども、そうですね、こちらは、例えば、金沢城の、城門、の場所ですね、かなじゃ、金沢城公園というところがございまして、その城門、石川門というんですけれども、そちらが国の重要文化財に指定されております。
オペレータ	09:44.59	10:09.23	そういった、歴史的な、ま、遺構とい、いいますか、そういった建物をご覧になったり、あるいはですね、先ほどの、ちょっと兼六園と趣向が似てしまうかもしれないんですけれども、えー金沢城、えー金沢城公園の周辺の、外堀の、お散歩、出会ったり、あとそうですねー。
オペレータ	10:09.90	10:23.83	こちらー、やはり金沢城関係のものが、いくつかご案内できますのと、あとどうでしょうか、この古い建物関連よりも、もっと美術館とか、屋内の方がよろしいですか？
カスタマー	10:24.70	10:27.23	美術館も、うー、あるわけですか？
カスタマー	10:27.71	10:28.68	どこか<>か。
オペレータ	10:27.93	10:28.05	はい。
オペレータ	10:29.20	10:39.92	はい、例えばですねー、石川県の、伝統工芸品の、えー、こちら、伝統産業工芸館というところがございます。
オペレータ	10:40.93	11:07.65	こちらにいきますと、石川県、全体のですね、衣食住、あと、えー、お祈り関係、えー、遊び関係、音楽関係、祭り関係、全てですね、扱っておりまして、例えば九谷焼であったりとか、あと輪島塗、そういった伝統工芸がですね、３６種類ほど、製作工程など、と一緒に展示されているようなんですね。
カスタマー	10:58.29	10:58.80	あー。
カスタマー	11:08.20	11:09.20	あー、そうなんですね。
オペレータ	11:09.72	11:24.67	ですので、ちょっとまあ、お勉強のような場所になってしまうんですけれども、金沢らしいものを、ご覧いただけるもの、場所、ま金沢らしいというよりは、石川県らしい、と言いますでしょうか、はい、ご覧いただける点は、よろしいかと思います。
カスタマー	11:24.98	11:26.18	それは楽しそうです。
カスタマー	11:26.47	11:40.97	今、ちょっと思ったんですけども、伝統工芸館に、あの金沢というと、金箔、思い出したんですけど、金箔ーの何か、技術が、あったと思うんですが、そういうものも、そこで、学べるんでしょうか。
オペレータ	11:28.25	11:28.43	ええ。
オペレータ	11:29.76	11:29.93	はい。
オペレータ	11:32.87	11:33.10	ええ。
オペレータ	11:38.05	11:38.23	ええ。
カスタマー	11:41.08	11:43.10	金箔の作る技術とか、そういうのは。
オペレータ	11:43.41	11:45.95	では、少々お待ちいただいてもよろしいでしょうか。
オペレータ	11:54.86	11:56.64	お客様、お待たせしております。
カスタマー	11:56.93	11:57.15	はい。
オペレータ	11:57.55	12:20.23	あの、先ほど申し上げました、伝統工芸館では、金箔関連の、あの技術等、あの、ご覧いただくことはできないんですけれども、お客様おっしゃられております、この金箔ーのですね、関連のものをご覧いただける場所として、他にですね、金沢の、市立の、安江金箔工芸館というところがございます。
カスタマー	12:06.51	12:06.72	はい。
カスタマー	12:20.62	12:20.93	あー。
オペレータ	12:21.72	12:40.00	こちらに、はですねー、昔金箔職人を、していたやすえたかあきという方が、えー、いらっしゃったんですけれども、その方がですね、金箔工芸館というものを建設して、いろいろと美術品とか、道具類を、展示しているようです。
オペレータ	12:41.85	12:56.87	ですので、お客様、え、おっしゃりました、金箔関連ですと、まちょっと別の場所に、行く感じになりますので、ま、両方とももちろん回ることもできますし、あるいはどちらか、ええ、どう、いかがいたしましょうか？
カスタマー	12:42.74	12:42.93	はい。
カスタマー	12:52.08	12:52.13	<>。
オペレータ	12:56.90	13:00.94	両方とも回られますか、それとも伝統工芸館だけになさいますか？
カスタマー	13:02.37	13:07.82	一応、欲張りかもしれませんが、両方、あったら、いいと思うんですが。
オペレータ	13:04.81	13:04.96	ええ。
オペレータ	13:07.60	13:07.97	ええ。
カスタマー	13:08.37	13:09.54	大丈夫でしょうか？
オペレータ	13:10.02	13:10.20	はい。
オペレータ	13:10.62	13:19.52	こちら、今申し上げました、こちら金箔の工芸館ですね、こちらご覧いただく所要時間が、１時間程度となっております。
オペレータ	13:20.55	13:20.69	はい。
オペレータ	13:21.13	13:26.47	そしてですねー、先ほど申し上げました、伝統工芸館の方もお調べいたしますね。
オペレータ	13:26.63	13:45.27	こちらのお時間がですねー、はい、こちら伝統工芸館は、まあ、短くて、３０分もあれば、ご覧いただけるような、場所のようですので、はい、ですので、お客様、この際、あの是非欲張ってですね、あの両方とも、おまわりになりますと、金沢のいい記念になるかと思います。
カスタマー	13:36.08	13:36.84	そうなんですね。
カスタマー	13:46.81	13:54.74	先ほど、あのー、おっしゃってた、お土産、も、そこで、すん、でしまうんでしょうか？
オペレータ	13:50.05	13:50.10	ええ。
オペレータ	13:51.95	13:52.02	ええ。
オペレータ	13:55.58	14:11.75	そうですね、例えば、こちらの伝統産業工芸館の方は、ミュージアムショップ、というものがございまして、こちらに、あのー、ミュージアム、内の、えー、まあ展示されてるもの関連の、お店、自体は、入って、おります。
オペレータ	14:12.80	14:34.88	ただ、お客様あの、例えば食べ物とかですねー、そういったものあるかどうかわかりませんので、もしよろしければ、こちら置物のようなものをですね、この伝統工芸産業館でお買い求めいただきまして、食べ物等はまた、別の場所で私どものほうでご案内いたしまして、お買い求めになるということは、いかがでしょうか？
カスタマー	14:35.33	14:37.27	あ、いいと思います、ありがとうございます。
オペレータ	14:37.43	14:50.63	ありがとうございます。では、こちらあの、ご覧になる場所としては、石川県立伝統産業工芸館、と、金沢市立安江金箔工芸館、こちらはリストに入れてもよろしいでしょうか？
カスタマー	14:51.63	14:53.00	はい、ワクワクします。
オペレータ	14:53.40	14:56.34	ありがと<>ありがとうございます。
オペレータ	14:56.87	15:02.93	ではお客様、こちら、お買い物ですね、お土産に関して、ご案内いたします。
カスタマー	15:03.30	15:03.54	はい。
オペレータ	15:04.06	15:12.83	あの、おそらくー、食べ物とかとなりますと、お孫様等への、何か、お土産、ええー。
カスタマー	15:11.30	15:12.03	そうなんです。
カスタマー	15:13.26	15:25.55	甘いものー、まああとー、あのー、妻、の分もですね、思いますけども、どういったものがあるかわからないんですけども、おすすめっていうのは何かありますでしょうか？
オペレータ	15:18.27	15:19.25	ええ、ええ。
オペレータ	15:20.68	15:20.83	ええ。
オペレータ	15:23.22	15:23.36	ええ。
オペレータ	15:26.10	15:26.32	はい。
オペレータ	15:26.78	15:47.69	ではですねー、お召し上がりいただけるものとなりますとー、えー、いくつか、やはり種類がございまして、例えばですねー、あのー、非常にこう、石川らしい、花芽らしいものとなりますと、加賀野菜を練り込んだ、半生うどんの加賀彩麺、というものがございます。
カスタマー	15:48.10	15:48.70	あー、はい。
オペレータ	15:49.05	16:35.40	加賀彩麺のさいは、彩、という字を書きまして、さいめんと読みますけれども、ま、そういった珍しい、えー、おうどんですとか、あと加賀のれんこん、あるいは、えー、天然塩とかー、えー、そういったものを扱っているお店があったりですねー、ただ、そういったものですと、ちょっとあのー、お子様、小さいお子様にはお喜びいただけないかもしれませんので、甘いものがよろしければー、例えばですねー、もっとトータルにですねー、お土産を扱っている、ま、その、お土産の、こう全般的なお店ですね、金沢百番街というところがございますので、そういうところに行かれた方が良いかとも思いますし、いかがでしょう。
カスタマー	16:34.22	16:34.33	あーはあ。
オペレータ	16:35.52	16:42.01	専門的なお店になさるのと、それとも、全般的なものを買えるお店、どちらの方が。
カスタマー	16:41.39	16:52.80	多分５人がみんな違うものを、えー、いろんな、それぞれ、あのー、欲しいものが違うと思いますので、一箇所で済むような、あのー、ひゃく、なんていうんでしたっけ。
オペレータ	16:47.80	16:48.03	ええ。
オペレータ	16:49.93	16:50.10	ええ。
オペレータ	16:53.30	16:57.62	え、あ、こちら、えー金沢百番街、あんとと、申します。
カスタマー	16:58.40	17:00.30	その方がいいような気がします。
オペレータ	17:00.94	17:01.08	はい。
オペレータ	17:01.49	17:16.70	こちらですとー、お客様あの宅配便を手配してくれる窓口もございますので、お客様の、ええ、お客様の、おかえりの、お手間も、だいぶ減って、こちらも便利かなーという風にも、思います。
カスタマー	17:07.80	17:08.93	あー<>ええ。
カスタマー	17:17.33	17:18.64	それはすごくいいです。
オペレータ	17:19.37	17:20.41	ありがとうございます。
オペレータ	17:20.75	17:26.20	ではこちら、行き先に、金沢百番街あんとを加えてもよろしいでしょうか？
カスタマー	17:26.65	17:28.07	はい、お願いします。
オペレータ	17:28.52	17:29.43	かしこまりました。
オペレータ	17:30.05	17:45.61	では、お客様、あの先ほど、お夕食につきまして、お客様ホテルでお召し上がりになるとおっしゃられていたんですけれども、もしよろしければ、私どものほうでもどちらか、一軒、お探しして、ご提案させていただいてもよろしいでしょうか？
カスタマー	17:45.33	17:45.41	はい。
カスタマー	17:45.89	17:47.11	えー、よろしくお願いします。
オペレータ	17:47.51	17:47.58	はい。
オペレータ	17:48.28	17:53.85	ではあのー、どういった、ものを、お召し上がりになるか、何か、ご希望はございますか？
カスタマー	17:54.25	17:54.33	はい。
カスタマー	17:54.76	18:05.77	なにかこうー、料亭というかですね、金沢らしい、料理が、コースで、食べられるような、そういうところ、が、いいんですが。
オペレータ	17:57.65	17:57.86	ええ。
オペレータ	18:00.78	18:00.93	ええ。
オペレータ	18:06.38	18:06.56	ええ。
オペレータ	18:07.14	18:08.02	かしこまりました。
オペレータ	18:08.33	18:12.82	では金沢らしい料理が、コースで食べられるような場所でございますね。
カスタマー	18:13.20	18:13.50	はい。
オペレータ	18:15.75	18:34.00	ではですねー、例えばー、そうですね、コース、というような、設定には、なってはいないんですけれどもー、先ほど申し上げました、のどぐろだけではなくですねー、お客様、じぶにという、煮物ご存知でしょうか？
カスタマー	18:34.33	18:35.34	聞いたことあります。
オペレータ	18:35.71	18:35.85	はい。
オペレータ	18:36.21	18:51.60	それでじぶにですとかー、あと土鍋ご飯、そしてもちろんお刺身等も扱っておりますお店がございまして、お魚はですね、こちら、漁港から直送のものを使っていて、さらにですね、個室がございます。
オペレータ	18:52.32	19:06.10	で、ですのでー、５名さまですとー、あの、まわりーに、気にすることなくですね、あの会話等も楽しめるお店ということで、あのー、ご案内できる場所があるんですけれども、名前がととやといいます。
カスタマー	19:06.52	19:07.27	はあ、はあ、はい。
オペレータ	19:07.78	19:21.77	こういったお店がよろしいか、それとも、お肉、を扱っているようなお店がいいかー、それとも、まもちろん、コースのお店もあって、まあ懐石ーのような感じーですね。
オペレータ	19:22.35	19:25.90	はい、そういったお店もおざいますがー、お客様いかがでしょう？
カスタマー	19:26.36	19:33.68	あの、今おっしゃったととやもいいんですが、懐石ー、なところもちょっと魅力を感じるんですが。
オペレータ	19:29.19	19:29.28	ええ。
オペレータ	19:31.09	19:31.28	ええ。
オペレータ	19:34.20	19:34.38	はい。
カスタマー	19:34.20	19:36.05	<>いただけますか？
オペレータ	19:34.65	19:40.35	はい、こちら、名前がですね、金沢さくら亭、といいます。
オペレータ	19:41.35	20:14.40	で、こちらはですねー、懐石ーですとー、２０種類以上の、素材を使った、まあ内容としては、懐石弁当、のような感じになってしまうらしいんですけれども、ただあの、じぶにをセットでつけることもできますし、それ以外にもですね、能登牛のステーキ丼とか、あとえー、しろえびですねー、現地有名ですけれども、しろえびのかき揚げ丼のようなですね、あのー、単品のメニューも充実しておりますので、えっ、それとかあの、お客様、ずわいがにもございますようです。
カスタマー	20:11.70	21:00.93	<>。
カスタマー	20:14.65	20:20.25	ほ、北陸のー、名物<>がそこで、全部食べられるような<>なんですね。
オペレータ	20:16.34	20:16.47	ええ。
オペレータ	20:20.67	20:21.67	さようでございます。
オペレータ	20:22.38	20:34.04	ですので、こちらですとー、あのー、例えば、ちょっと懐石じゃなくて自分は軽くステーキ丼がいいといったような方がいらっしゃいましても、５名さまですので、はい、問題なく、おつかえいただけます。20
カスタマー	20:35.07	20:38.84	予算はどれくらいで、えー、すむ、なんでしょうか？
オペレータ	20:38.65	20:38.85	はい。
オペレータ	20:40.37	20:49.10	こちら、よ、お予算がですね、５千円から１万円程度となっておりまして、ちょっとお値段、え、高くなるんですけれども、いかがでしょうか？
カスタマー	20:45.04	20:45.44	あ、<>。
カスタマー	20:49.45	20:51.16	それで、いいと思います。
オペレータ	20:51.90	20:52.72	かしこまりました。
オペレータ	20:52.80	20:57.00	ありがとうございます。ではこちらを、行き先のリストに加えてもよろしいでしょうか？
カスタマー	20:57.53	20:58.98	はい、お願いします。
オペレータ	20:59.00	21:01.75	はい、では、金沢さくら亭でございますね。
カスタマー	21:02.03	21:02.21	はい。
オペレータ	21:02.35	21:02.38	はい。
オペレータ	21:03.02	21:08.03	では、本日、ご案内しました場所を今一度、確認いたします。
オペレータ	21:08.80	21:17.26	午前中、兼六園、をまわられまして、お昼は、のどぐろ料理と北陸の地酒のお店、せんという名前のお店でございますね。
オペレータ	21:17.85	21:31.57	そして午後は、石川賢立伝統産業工芸館と、金沢市立、やすえ金箔工芸館をご覧になりまして、そのあとお土産を、金沢百番街、あんとで、お買いになる。
オペレータ	21:32.30	21:39.33	という流れで、最後に、お召し上がりになるのが、懐石で、金沢さくら亭というお店で、おまちがいないでしょうか？
カスタマー	21:39.87	21:40.16	はい。
カスタマー	21:40.45	21:41.10	えー、いいです。
カスタマー	21:41.47	21:43.38	大変楽しみに、なりました。
オペレータ	21:43.89	21:45.05	ありがとうございます。
オペレータ	21:45.50	21:48.55	それでは本日の観光案内は、以上となります。
オペレータ	21:48.62	21:50.93	ご利用いただきまして、ありがとうございました。
カスタマー	21:51.60	21:52.83	よろしくお願いします。
オペレータ	21:53.09	21:54.18	よろしくお願いいたします。
オペレータ	21:54.23	21:55.23	失礼いたします。
カスタマー	21:56.08	21:56.68	失礼します。
