発話者名	発話開始時間	発話終了時間	書き起こしテキスト
オペレータ	01:43.29	01:49.72	まず、お客様、福岡で、どういったことをなさりたいか、何か、アイデアはございますでしょうか？
カスタマー	01:50.85	02:04.40	えー、まず、福岡博多のまちーなみを、見てみたい、てゆーことと、あ行事があれば、博多<>行事があれば、その行事にも参加してみたい、と思っています。
オペレータ	01:57.23	01:57.42	ええ。
オペレータ	01:59.26	01:59.33	ええ。
オペレータ	02:05.37	02:06.29	かしこまりました。
オペレータ	02:06.67	02:12.63	それでは、まず、街並みで、どういったところをご覧いただけるか、こちらでお調べいたします。
オペレータ	02:13.52	02:14.70	少々お待ちくださいませ。
オペレータ	02:26.91	02:28.75	お客様、お待たせしております。
カスタマー	02:29.27	02:29.55	はい。
オペレータ	02:30.06	02:38.35	え、博多の方で、お客様、ご覧になられたい街並みなんですけれども、少し、自然があるところがよろしいでしょうか？
オペレータ	02:38.40	02:43.75	それともそういったものではなく、ショッピングを<>になさるかたちがよろしいでしょうか？
カスタマー	02:44.86	02:57.20	できたらですね、ない、あの、神社等があれば、その神社仏閣、それから、自然と言いますか、公園があれば、公園にも行ってみたいと思います。
オペレータ	02:54.58	02:54.75	ええ。
オペレータ	02:57.87	02:58.77	かしこまりました。
オペレータ	02:59.38	03:06.05	それでは、まず、神社なんですけれども、私どもで、ご提案できる箇所が、幾つかございます。
オペレータ	03:07.10	03:12.15	まずひとつが、櫛田神社、というところがございます。
オペレータ	03:13.62	03:16.12	こちら、お客様、名前はご存知でしょうか？
カスタマー	03:16.52	03:18.97	櫛田神社という名前は聞いたことあります。
カスタマー	03:19.27	03:25.74	何かそこからスタートして、えー、イベントがあったような、お祭りがあったような、気がするんですが。
オペレータ	03:21.37	03:21.50	ええ。
オペレータ	03:25.78	03:37.96	ええー、こちら、ですね、夏の七月に、博多の祇園山笠、であったり、あと十月には、博多おくんちの奉納がなされております。
カスタマー	03:38.58	03:38.89	<>。
オペレータ	03:39.13	03:39.20	はい。
オペレータ	03:39.79	03:54.06	お客様がご旅行なさる四月五月とはちょっと離れているんですけれども、それでもですね、こちら博多の街の、総鎮守として知られておりまして、ご覧いただくには、とても価値のあるところかと思います。
カスタマー	03:55.02	03:56.12	あー、そうなんですね。
カスタマー	03:56.41	03:58.75	街の中に、市内にあるわけですか？
オペレータ	03:56.55	03:56.67	ええ。
オペレータ	03:59.28	04:00.68	はい、さようでございます。
オペレータ	04:00.90	04:21.71	祇園、という場所にございまして、はい、こちら、あの博多駅、と、天神、こちら、博多がですね、ジェイアールの駅でございまして、天神というのは、別の私鉄の、私鉄の駅なんですけれども、そのちょうど真ん中に、ございまして、交通機関のアクセスも、非常に良いところにございます。
カスタマー	04:22.27	04:22.59	はい。
オペレータ	04:23.91	04:35.13	お客様、このような、まず、櫛田神社というところがございますのと、それ以外にもですね、例えば、筥崎宮、という神社がございます。
オペレータ	04:36.29	04:38.49	お客様、こちらはご存知でしょうか？
カスタマー	04:39.40	04:41.50	筥崎宮、という神社ですか？
オペレータ	04:41.70	04:43.07	はい、さようでございます。
カスタマー	04:43.81	04:45.02	聞いたことないです。
オペレータ	04:45.65	04:46.60	さようでございますか。
オペレータ	04:46.98	05:04.31	こちら、漢字で書きますと、たけかんむり、に、下が漢字の、ろ、という字になりまして、それに、さきは、高崎、群馬県の高崎と同じ高崎の字、それに宮と書いて、筥崎宮という名前になっております。
オペレータ	05:05.04	05:20.63	こちらがですね、九百二十三年に、醍醐天皇が建立した、神社となっておりまして、はい、こちらもー、なかなか古くから、ある、日本三大八幡宮の、ひとつと、いわれております。
オペレータ	05:21.87	05:35.55	ですので、先ほど申し上げました、こちら、櫛田神社、と、ただいま申し上げました、筥崎宮、こちら、私どものおすすめとなっております。
オペレータ	05:36.68	05:40.36	今の、説明ですと、お客様どのような、ご印象でしょうか？
カスタマー	05:41.23	05:58.63	あのー、どちらも、興味があるんですけれども、筥崎宮と、櫛田神社の両方を、一日で、行って、見て、参拝と言いますか、観光で行くことは、可能でしょうか？
オペレータ	05:47.32	05:47.48	ええ。
オペレータ	05:49.80	05:50.07	はい。
オペレータ	05:51.11	05:51.37	はい。
オペレータ	05:55.20	05:55.37	ええ。
オペレータ	05:59.13	06:00.67	はい、もちろんでございます。
オペレータ	06:01.38	06:10.55	お客様、こちらですね、櫛田神社の、参拝が出来る時間が、朝の四時から、夜の十時までとなっております。
オペレータ	06:11.90	06:19.45	またもうひとつのですね、筥崎宮の方は、朝の六時から夜の七時まで、参拝が、できます。
オペレータ	06:20.50	06:39.37	ですので、ちょっと例えば、早起きを、して、夜遅くまでご旅行の観光をなさる、というプランでよろしければ、こちらの二つをまわった上で、最初に、お客様、おっしゃられておりました、公園もお楽しみになれる、プランを、ご提案できます。
オペレータ	06:41.06	06:41.18	はい。
オペレータ	06:41.73	06:43.33	そうなりますと、お客様、いかがでしょうか？
オペレータ	06:43.42	06:47.47	こちら、どちらとも、お参拝なさるプランになさいますか？
オペレータ	06:48.07	06:50.42	あ、魅力的、に、思いました。
カスタマー	06:50.73	06:57.34	その、ふたつ、の場所に、二箇所ーの、移動は、歩いて、行ける、ものなんでしょうか？
カスタマー	06:57.71	07:07.33	ご、例えば午前中だけで、<>神社を、あー、その、ふたつの箇所を、見て、えー、いくことは、でき、る、ものなんでしょうか？
オペレータ	06:59.65	06:59.77	ええ。
オペレータ	07:02.91	07:03.03	ええ。
オペレータ	07:07.77	07:07.92	はい。
オペレータ	07:08.38	07:40.27	こちらですね、地下鉄、の駅、がございますので、はい、地下鉄でご移動いただけましたら、問題なく、まわることができますので、もしよろしければお客様、午前中は、お宮参り、プランという形で、はい、ふたつの神社をお楽しみになって、それで、お昼ご飯を、お召し上がりになって、そのあとで、このなんていうんでしょうか、お昼ご飯を食べて眠くなったところでちょっと、お散歩がてら、公園等を回られるというのはいかがでしょうか？
カスタマー	07:24.48	07:25.03	ああー。
カスタマー	07:41.07	07:47.72	少し早起きすれば午前中にふたつー、の、<>箇所を回ることが、できる、ということですね。
オペレータ	07:43.88	07:44.02	ええ。
オペレータ	07:48.05	07:48.93	さようでございます。
カスタマー	07:49.67	07:58.81	そうしますと、そのあとで、昼食をとる、うー、まで、時間は、も、そんなにない、なくなりますですかねえ？
オペレータ	07:51.45	07:51.72	はい。
オペレータ	07:54.93	07:55.08	ええ。
カスタマー	07:58.87	08:19.64	その所要時間、二箇所まわったら、も<>、たとえば、朝、ホテルでご飯食べた後、出かけたいと思いますので、あんまり早く、早起きはしたくないーんですけども、ま、九時頃に、ホテルでて、午前中に二箇所をまわって、そうするともうちょうどお昼くらいになるものなのでしょうか？
オペレータ	08:00.62	08:00.68	ええ。
オペレータ	08:04.82	08:05.09	ええ。
オペレータ	08:06.57	08:06.74	ええ。
オペレータ	08:10.53	08:10.73	ええ。
オペレータ	08:12.69	08:12.92	ええ。
オペレータ	08:14.06	08:14.25	ええ。
オペレータ	08:20.17	08:20.41	はい。
オペレータ	08:21.09	08:30.68	お客様、奥様とご一緒のご旅行かと思いますので、おそらく、急ぐよりも、ゆっくり、歩くような、形がよろしいかと思います。
カスタマー	08:31.08	08:31.08	とおりなんです。
オペレータ	08:32.10	08:32.21	ええ。
オペレータ	08:32.61	08:47.70	そうしますと、おそらくですね、お客様先ほどおっしゃられた、九時頃、お出かけになりまして、で、午前中例えば、一時間半ずつぐらいの感じでですね、ご覧いただきますと、ちょうど、お昼のお時間になって、良いのではないでしょうか？
カスタマー	08:48.58	08:49.87	あー、いいと思います。
オペレータ	08:50.26	08:51.07	ありがとうございます。
オペレータ	08:51.35	08:55.60	それでは、こちら、観光先のリストに加えてもよろしいでしょうか？
カスタマー	08:56.33	08:57.52	はい、お願いします。
オペレータ	08:57.89	08:59.50	それでは、少々、お待ちくださいませ。
オペレータ	09:00.21	09:54.09	では、筥崎宮と、こちら、櫛田神社でございますね。
カスタマー	09:05.05	09:05.43	はい。
オペレータ	09:06.23	09:11.12	それではお客様、ちょうどお昼の、お時間になって、お腹が空く頃かと思います。
オペレータ	09:12.10	09:15.98	博多で何か、お召し上がりになりたい、お食事はございますでしょうか？
カスタマー	09:17.57	09:24.05	博多ーの名物って、と言うと、博多ラーメンとかですねえ。
オペレータ	09:21.38	09:21.53	ええ。
オペレータ	09:24.22	09:24.52	ええ。
カスタマー	09:24.98	09:32.79	まあ、屋台、ん、の話を聞いたことあるんですが、屋台で食べるようなことは、できるんでしょうか？
オペレータ	09:28.62	09:28.93	ええ。
オペレータ	09:33.41	09:34.58	屋台でございますね。
オペレータ	09:34.82	09:36.50	少々お待ちいただけますでしょうか？
オペレータ	09:45.31	09:46.97	お客様、お待たせしております。
オペレータ	09:48.31	09:59.16	今私の方でお調べしましたら、屋台が開いているお時間が、だいたい、夕方の、六時半頃からになってしまうんですね。
カスタマー	09:59.73	10:01.06	あー、そうなんですねえ。
オペレータ	10:00.70	10:00.77	ええ。
オペレータ	10:01.27	10:10.98	それじゃ、もしよろしければ、屋台の方は、お夕食でお召し上がりになって、お昼は、また、別のお食事をなさるというのはいかがでしょうか？
カスタマー	10:11.74	10:14.07	それーが、魅力的です。
カスタマー	10:14.28	10:16.62	屋台、も、よりたいと思ってま。
オペレータ	10:16.34	10:16.77	<>。
オペレータ	10:17.88	10:18.40	そうですよね。
カスタマー	10:17.88	10:23.32	<>また別の場所ー、でなんか、おすすめの、ところ、ありますでしょうか？
オペレータ	10:20.78	10:20.92	ええ。
オペレータ	10:23.58	10:23.68	ええ。
オペレータ	10:23.99	10:24.08	いや。
オペレータ	10:24.26	10:32.98	お客様、まず、お夕食の、屋台の方、ちょうど私どものほうで今ご案内できますので、先にそちらお選びいただくのはいかがでしょうか？
カスタマー	10:33.51	10:34.44	お願いします。
オペレータ	10:34.70	10:34.79	はい。
オペレータ	10:35.10	10:38.49	お客様、どういったジャンルの、お食事がお好みですか？屋台
オペレータ	10:38.53	10:42.03	屋台といえば、やはり、ラーメン、という感じはするんですけれども。
カスタマー	10:43.06	10:50.43	あの、ラーメンとかですね、まあ、あのー、多分魚介類が、<>出ますのでー、ええ。
オペレータ	10:45.25	10:45.46	ええ。
オペレータ	10:48.15	10:48.61	ええー。
オペレータ	10:49.83	10:50.02	ええ。
カスタマー	10:51.43	11:01.52	まあ、和食系というか、魚介類、あの、おー、お魚、そういうものが食べられるような屋台っていうのは、あるんでしょうか？
オペレータ	10:54.78	10:55.01	ええ。
オペレータ	10:57.14	10:57.37	ええ。
オペレータ	11:01.78	11:01.98	はい。
オペレータ	11:02.63	11:10.18	お客様、中洲、という地区がございまして、そちらにですね、福岡の屋台が集まってございます。
オペレータ	11:11.45	11:35.88	そしてお客様がお召し上がりいただける、お料理のジャンルなんですけれども、焼き鳥、天ぷら、おでん、中華、イタリアン、フランス料理とですねえ、なんでも揃っておりまして。
カスタマー	11:25.78	11:26.77	あんですねー。
カスタマー	11:26.72	11:32.78	そ、あのー、<>によって違う屋台に行くということですか？
カスタマー	11:32.98	11:37.64	イタリアンが得意な屋台とかー、あっそれで、<>ですね。
オペレータ	11:35.15	11:35.56	ええ。
カスタマー	11:37.68	11:41.18	ひとつの屋台でぜーんぶ食べられるとか、そういうのではないわけですね。
オペレータ	11:39.82	11:39.85	あっ。
オペレータ	11:41.28	12:04.35	そうですねー、こちら屋台自体が、そちらの福岡の屋台中洲に行きますと、百四十軒程度ございまして、ですので、お客様、ちょこっとずつ食べ歩きのような感じでですね、食べ歩きというと、まあ歩いて食べるような感じになりますけれども、まあ、あの、食べてまわる感じで、お楽しみになるとですねえ、いい思い出になるんじゃないかと思います。
カスタマー	11:50.04	11:50.98	ああー、はい。
カスタマー	11:55.31	11:55.60	はい。
カスタマー	12:05.16	12:05.95	そうなんですね。
カスタマー	12:06.10	12:17.05	あの食べ歩きしても、そんなにあのー、予算があるわけじゃないが、じゃあ、なんていうか、まあ、でも、そんなお財布には、<>でしょうか？
オペレータ	12:10.43	12:10.94	はい、ええー。
オペレータ	12:15.48	12:16.37	そうですねー、はい。
オペレータ	12:17.32	12:17.48	ええ。
オペレータ	12:17.93	12:34.12	あのー、特に、あのお店にやはりよりますので、いくらいくらというところまでは、ちょっとご案内できないんですけれども、まああの屋台ですので、あの、そこまで肩肘張った場所でもございませんし、あまりあの、ご予算については、あの、気になさらなくて大丈夫かと思います。
カスタマー	12:34.51	12:34.98	そうです。
カスタマー	12:35.32	12:41.36	あのー、楽しそうで、なんげんか、はしごをしてみたいと、思います。
オペレータ	12:37.57	12:37.70	ええ。
オペレータ	12:38.90	12:39.11	ええ。
オペレータ	12:41.91	12:47.75	かしこまりました。では、お夕食はこちら、福岡の屋台でお召し上がりになる形でよろしいでしょうか？
カスタマー	12:47.97	12:48.24	はい。
オペレータ	12:49.16	12:50.18	ありがとうございます。
オペレータ	12:50.53	12:54.65	では、先ほどの、お昼ご飯に、お話を戻してもよろしいでしょうか？
カスタマー	12:55.08	12:56.46	はい、お願いします。
オペレータ	12:56.83	13:04.60	では夜は屋台ということで、今お話決まったんですけれども、お昼はそうなりますとどういったものをお召し上がりになりますか？
カスタマー	13:05.83	13:21.34	夜にですね、あ、えー、ラーメン以外のものを食べたいと思いますので、お昼は、とんこつラーメンとか、まあ、中華風、中華風のものがあれば、それはそれで、いいです<>も。
オペレータ	13:07.05	13:07.20	ええ。
オペレータ	13:10.92	13:11.15	ええ。
オペレータ	13:14.65	13:14.93	ええ。
オペレータ	13:17.57	13:17.90	ええ。
オペレータ	13:20.55	13:20.64	ええ。
オペレータ	13:21.64	13:22.77	かしこまりました。
オペレータ	13:23.12	13:29.91	では、ラーメンのお店ですと、やはりお客様、とんこつラーメンを、お好みということでしょうか？
カスタマー	13:30.47	13:31.18	そうです。
カスタマー	13:31.32	13:35.05	博多の名物ラーメンを、食べ<>思っています。
オペレータ	13:33.65	13:33.74	ええ。
オペレータ	13:35.77	13:36.71	かしこまりました。
オペレータ	13:36.98	14:00.32	ではですねえ、こちら、お昼からでもお召し上がりいただける、ラーメン屋ですと、例えばですねえー、長浜しょうふん本店という、お店がございまして、こちらですねえ、素材の方が、体に良いものを基本的に使っている、ヘルシー志向のラーメン店のようなんですね。
カスタマー	14:00.68	14:00.98	はい。
オペレータ	14:01.06	14:30.92	ですので、あのー、とんこつというと、ちょっとあの、脂っこい感じがするかと思うんですけれども、比較的、お味の方があっさりとしているようでして、あの、この後で、公園にまわられるとなりますと、あの、胃もたれとかすると、ちょっと嫌かと思うんですけれども、このお店ですと、結構安心して、ラーメン、とんこつラーメンお召し上がりになって、そのあとで運動も、特に、問題なくできるかと思いますので、こちらを、お勧めいたします。
オペレータ	14:31.10	14:32.03	お客様、<>。
カスタマー	14:31.64	14:32.25	<>ええ。
オペレータ	14:32.56	14:32.70	ええ。
カスタマー	14:33.48	14:39.62	予約等はしないでも、はい、並んで、<>できるような、お店なんでしょうか？
オペレータ	14:35.53	14:35.70	ええ。
オペレータ	14:40.30	14:44.47	こちら特にそこまでの行列ができるようなお店ではないんですね。
オペレータ	14:44.98	14:58.45	で、もし、ご心配でしたら、お電話番号をお伝えしておきますので、事前にお電話をなさって、例えば混雑具合を、お尋ねいただくとか、そのようになさるのがよろしいかと思います。
カスタマー	14:59.08	15:00.08	わかりました。
オペレータ	15:00.95	15:01.11	はい。
オペレータ	15:01.52	15:15.10	で、こちらがですね、えー、九州、の博多ですと、やはり高菜、が有名なんですけども、こちらあの、高菜、は入れ放題になっておりますのでへ、えへ、お客様の方で。
カスタマー	15:14.73	15:15.26	あいー。
カスタマー	15:15.45	15:21.89	辛いと、草のようなというか植物、高菜、お漬物のようなのですね。
オペレータ	15:19.29	15:19.38	ええ。
カスタマー	15:22.02	15:22.18	<>。
オペレータ	15:22.23	15:23.02	さようでございます。
カスタマー	15:22.87	15:24.02	<>ですから。
カスタマー	15:24.82	15:25.24	<>。
オペレータ	15:25.95	15:27.10	はい、さようでございます。
カスタマー	15:27.68	15:28.48	いいですねえ。
オペレータ	15:28.83	15:29.00	はい。
オペレータ	15:29.60	15:42.52	で、こちらー、あの麺の方も、博多ラーメンらしく細麺のようですので、はい、あの、雰囲気、というかですね、博多に行った、まあ、思い出を作るには、ちょうどいいお店かと思います。
カスタマー	15:34.40	15:34.69	あー。
カスタマー	15:42.98	15:43.47	はい。
オペレータ	15:44.11	15:45.05	では、あちら、ええ。
カスタマー	15:46.00	15:49.85	魅力的なんで、そこにお願いしたいと思います。
オペレータ	15:50.45	15:51.26	かしこまりました。
オペレータ	15:51.26	15:57.73	では、お昼ご飯はこちら、長浜しょうふん本店の方でお召し上がりになるということで、承ります。
カスタマー	15:58.23	15:58.54	はい。
オペレータ	15:59.22	16:07.03	ではお客様、公園の方の、観光なんですけれども、こちらちょっとお歩きになるような感じでよろしいですか？
カスタマー	16:07.45	16:07.78	はい。
カスタマー	16:08.53	16:13.03	えと、午後、午後いちで、いきたいと思いますが。
オペレータ	16:11.02	16:11.26	はい。
オペレータ	16:13.98	16:14.88	かしこまりました。
オペレータ	16:15.20	16:21.69	それではですねえ、お客様ご提案できる、公園があ、えー、二箇所ございます。
オペレータ	16:22.23	16:24.09	順にご案内してもよろしいでしょうか？
カスタマー	16:24.53	16:24.93	はい。
オペレータ	16:25.78	16:25.94	はい。
オペレータ	16:26.20	16:30.63	まずひとつが、天神中央公園というところになります。
オペレータ	16:38.58	16:46.23	こちら天神という場所がですねえ、ま、福岡の、都心にあたる、ところになりまして、はい、で、福岡県庁の跡地に整備されたですね、芝生のような、え、芝生の広場のような場所となっております。
オペレータ	16:46.88	16:55.06	ちょっとまあ、あんまり広い感じはありませんので、かああの、長時間観光できるような場所ではございません。
オペレータ	16:55.08	16:58.93	ま、ちょっと、あの、お昼の、ブレイクタイムのような感じになってしまいます。
オペレータ	17:01.22	17:09.36	で、もう一箇所がー、福岡城の、跡ですね、福岡城址、こちら、舞鶴公園、と、いいます。
カスタマー	17:03.16	17:03.47	はい。
オペレータ	17:10.40	17:22.52	こちらあの、福岡城址というだけあって、あのお城の跡が残っておりまして、初代の福岡藩主のですね、黒田家の、築城された、お城となっております。
オペレータ	17:23.68	17:35.02	でこちらの方がですね、重要文化財に指定されている、建物も残っておりまして、観光となりますと、こちらの方が楽しいかな、という雰囲気がございます。
カスタマー	17:36.49	17:44.80	福岡城址の、あー、跡、お城の跡の、に、建てた公園。
オペレータ	17:45.41	17:46.31	さようでございます。
カスタマー	17:47.15	17:50.29	そちらの方が、魅力、的です。
オペレータ	17:50.96	17:51.63	そうですね。
オペレータ	17:52.04	18:03.10	こちらですと、展望台などもございますので、展望台に登って、福岡の景色、をですね、一望なさるのも、良いのではないかと思います。
カスタマー	18:04.23	18:05.64	それはいいと思います。
オペレータ	18:06.48	18:07.51	ありがとうございます。
オペレータ	18:08.00	18:16.38	では、こちらーですねえ、お昼ご飯をお召し上がりになった後に行かれるということでよろしいでしょうか？
カスタマー	18:16.94	18:17.43	はい。
オペレータ	18:18.31	18:19.24	かしこまりました。
オペレータ	18:19.66	18:29.80	ではお客様こちら、福岡城址にお昼まわられて、夕ご飯までもう少しお時間あるかと思うんですけれども、何か、ご希望はございますか？
カスタマー	18:28.17	18:28.23	<>。
カスタマー	18:31.84	18:38.56	えー、公園、でー、散歩する時間、ていうのはどれくらいかかるものでしょうか？
カスタマー	18:38.71	18:42.09	一、二時間で、終わる、ものなんでしょうか？
オペレータ	18:42.55	18:47.59	目安としてはですね、一時間程度、お考えいただければと思います。
カスタマー	18:48.71	18:49.69	あー、わかりました。
カスタマー	18:50.10	19:03.25	そうしますと、あと、食事、夕食は、だ、七時か、くらいにしたいと思っているんですが、まだ時間が、えー、三時間とか、<>ますねえ。
オペレータ	18:53.98	18:54.16	ええ。
オペレータ	18:57.92	18:58.10	はい。
オペレータ	19:01.94	19:02.06	そうなん。
オペレータ	19:03.43	19:03.66	ええ。
カスタマー	19:04.99	19:17.74	博多から、一時間くらい、こう電車に乗ったりバスに乗ったりして、どこか、おすすめの、観光地っていうのは、三時間くらいで行って帰ってこれる場所ってありますでしょうか？
オペレータ	19:10.13	19:10.31	ええ。
カスタマー	19:18.28	19:30.16	では、お客様、私どものおすすめが、シーサイドももち海浜公園、というところがございまして、こちらあの同じく福岡市内、なんですね。
オペレータ	19:31.95	19:46.28	で、こちら、あの海浜公園という名前の通り、人工の砂浜なんですけれども、その砂浜沿いに福岡タワーですとか、あと、ソフトバンクホークスの、福岡ドーム、お客様ご存知でしょうか？
カスタマー	19:45.28	19:45.42	ああ。
オペレータ	19:46.78	19:46.87	はい。
カスタマー	19:47.15	19:47.48	はい。
オペレータ	19:47.59	20:17.87	<>ものがたっておりまして、春の潮風を浴びながらですね、そういった福岡の、福岡らしい建物をお楽しみになって、ちょうど、お腹を空かせて、福岡の屋台を、何軒か回られると、ちょうどあの、夕ご飯もですね、一軒だけでなく、二軒とか三軒回りたくなるほど、お腹も空いてちょうど良いかなと思いました。
カスタマー	20:10.97	20:11.73	いかがでしょうか？
カスタマー	20:12.31	20:13.83	ああ、それはいいと思います。
カスタマー	20:14.21	20:17.62	その、海浜公園ていうんですか？
オペレータ	20:17.81	20:18.05	はい。
カスタマー	20:18.34	20:95.20	あでーはー、あのー、福岡城址からは、どれくらいかかるんでしょうか、所要時間。
オペレータ	20:22.50	20:22.70	ええ。
オペレータ	20:26.24	20:26.37	はい。
オペレータ	20:26.69	20:35.65	こちらあの歩いて行ける距離にございますので、はい、あの地下鉄ーと、徒歩を組み合わせるような形でしょうか。
オペレータ	20:36.20	20:43.73	ええ、なのでまあ、三十分、一時間程度あれば、特に問題なく、移動はできますので、その点はご安心くださいませ。
カスタマー	20:44.41	20:53.67	それあのー、長距離バスにのって移動とかしないでも、コンパクトに、あー、<>できる、ということ、ですか？
オペレータ	20:49.77	20:50.23	はい、そうで。
オペレータ	20:53.88	20:54.85	はい。
オペレータ	20:55.32	20:58.83	福岡市内となっておりますので、その点はご安心くださいませ。
カスタマー	20:59.81	21:00.67	わかりました。
オペレータ	21:00.95	21:01.05	はい。
カスタマー	21:01.34	21:24.37	何か、それでですね、途中で、おやつ等で、スイーツで、妻はスイーツが好きなものですから、何か、ちょっと、三時の<>おやつの時間にちょこっと甘いものを食べる、ような場所っていうのは、わたくしたちが回ろうとしているルート上に、おすすめってありますでしょうか？
オペレータ	21:03.34	21:03.56	ええ。
オペレータ	21:06.86	21:07.06	ええ。
オペレータ	21:10.12	21:10.33	ええ。
オペレータ	21:18.10	21:18.32	ええ。
オペレータ	21:22.27	21:22.43	ええ。
オペレータ	21:25.20	21:27.39	そうですね、少々お待ちくださいませ。
カスタマー	21:27.25	21:27.39	はい。
カスタマー	21:42.27	21:49.37	あ、特になければ、<>ていて、その辺で、<>したところに入れば、それはそれでいいんですが。
オペレータ	21:49.52	21:49.73	はい。
オペレータ	21:50.25	22:03.33	そうですね、私どものほうでご案内できる場所で、例えば、あの、日本庭園の中で、お茶を楽しみながら、ごゆっくりできる場所があるんですけれども。
オペレータ	22:03.80	22:03.95	はい。
オペレータ	22:04.08	22:06.53	そちらが名前がらくすいえんといいます。
カスタマー	22:07.03	22:08.40	らくすいえんというんですね。
オペレータ	22:08.44	22:08.58	はい。
カスタマー	22:08.83	22:12.62	これはあのー、福岡城址の、ところに、ある。
オペレータ	22:13.80	22:14.42	んこうですね。
オペレータ	22:14.85	22:25.52	こちらあのー、少し、福岡城址から離れているんですけれども、移動はあの地下鉄で問題なくできますので、こちらもあのなかなか良いところかなあと思います。
オペレータ	22:25.54	22:31.23	春ですと、桜も咲いておりますので、四月頃ですと、ちょうど良いかなぁと思います。
カスタマー	22:27.82	22:27.85	あー、はい。
カスタマー	22:31.70	22:32.08	はい。
オペレータ	22:32.78	22:32.86	はい。
オペレータ	22:33.33	22:34.80	ではこちら、いかがでしょうか。
カスタマー	22:34.48	22:37.30	それでお願いしたいと思います。
オペレータ	22:38.02	22:38.98	かしこまりました。
オペレータ	22:39.36	22:45.02	それでは本日、ご案内いたしました、場所を、今一度、おさらいしてもよろしいでしょうか？
カスタマー	22:45.53	22:46.47	お願いします。
オペレータ	22:46.76	22:46.92	はい。
オペレータ	22:47.30	22:58.19	えー、まず、神社が、櫛田神社と筥崎宮、こちら午前中におまわりになりまして、お昼に、長浜しょうぐう本店で、ラーメンを、お召し上がりになる。
オペレータ	22:58.87	23:09.03	そして、そのあと、福岡城址と、シーサイドももち海浜公園を、まわられまして、お茶をその間にらくすいえんで、お楽しみになります、よね。
カスタマー	23:09.32	23:09.63	はい。
オペレータ	23:09.69	23:16.27	で、最後に、福岡の屋台で、お食事をお召し上がりになるという行程で、おまちがいないでしょうか？
カスタマー	23:16.87	23:17.25	はい。
カスタマー	23:17.54	23:17.73	まちがいないです。
カスタマー	23:18.93	23:19.17	はい。
オペレータ	23:19.18	23:19.77	かしこまりました。
オペレータ	23:20.05	23:23.02	それでは本日の観光案内は、以上となります。
オペレータ	23:23.22	23:25.48	ご利用いただきまして、ありがとうございました。
カスタマー	23:26.00	23:27.19	よろしくお願いします。
オペレータ	23:27.45	23:28.40	よろしくお願いいたします。
オペレータ	23:28.43	23:29.49	失礼いたします。
